[2018-06-22 12:27:15,949] DEBUG - Main - App launched
[2018-06-22 14:26:00,817] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:26:01,129] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:26:01,234] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:28:27,383] DEBUG - Main - App launched
[2018-06-22 14:28:28,591] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:28:28,943] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:28:29,045] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:28:47,264] DEBUG - Main - App launched
[2018-06-22 14:28:48,549] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:28:49,055] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:28:49,167] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:29:46,389] DEBUG - Main - App launched
[2018-06-22 14:29:47,460] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:29:47,757] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:29:47,849] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:29:48,097] INFO - SqsClient - Destroying queue eventprocessing at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:30:52,352] DEBUG - Main - App launched
[2018-06-22 14:30:53,438] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:30:53,840] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:30:54,283] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:32:25,450] DEBUG - Main - App launched
[2018-06-22 14:32:26,516] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:32:26,837] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:32:26,971] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:33:38,519] DEBUG - Main - App launched
[2018-06-22 14:33:39,601] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:33:39,917] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:33:40,082] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:34:22,132] DEBUG - Main - App launched
[2018-06-22 14:34:23,279] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:34:23,650] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:34:23,755] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:34:23,994] INFO - SqsClient - Destroying queue eventprocessing at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:35:00,379] DEBUG - Main - App launched
[2018-06-22 14:35:01,595] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:35:01,886] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:35:11,330] DEBUG - Main - App launched
[2018-06-22 14:35:12,428] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:35:12,765] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:37:56,035] DEBUG - Main - App launched
[2018-06-22 14:37:57,099] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:37:57,418] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:38:28,058] DEBUG - Main - App launched
[2018-06-22 14:38:29,123] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:38:29,437] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:38:29,780] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:42:27,642] DEBUG - Main - App launched
[2018-06-22 14:42:28,782] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:42:29,108] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:42:29,242] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:43:34,282] DEBUG - Main - App launched
[2018-06-22 14:43:35,384] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:43:35,693] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:43:35,806] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:44:32,000] DEBUG - Main - App launched
[2018-06-22 14:44:33,130] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:44:33,434] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:44:33,569] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:44:58,286] DEBUG - Main - App launched
[2018-06-22 14:44:59,373] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:44:59,740] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:44:59,842] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:46:54,789] DEBUG - Main - App launched
[2018-06-22 14:46:55,866] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:46:56,164] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:46:56,292] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:47:19,181] DEBUG - Main - App launched
[2018-06-22 14:47:20,364] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:47:20,677] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:47:20,783] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 15:58:47,450] DEBUG - Main - App launched
[2018-06-22 16:02:14,654] DEBUG - Main - App launched
[2018-06-22 16:02:16,109] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:02:16,503] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:02:16,867] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:18:03,944] DEBUG - Main - App launched
[2018-06-22 16:18:05,320] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:18:05,718] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:18:05,883] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:22:09,846] DEBUG - Main - App launched
[2018-06-22 16:22:11,218] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:22:11,752] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:22:11,857] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:22:11,877] INFO - SnSClient - SnsClient created
[2018-06-22 17:11:45,434] DEBUG - Main - App launched
[2018-06-22 17:11:46,796] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 17:11:47,139] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-22 17:11:47,372] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-22 17:11:47,397] INFO - SnSClient - SnsClient created
[2018-06-22 17:11:47,720] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-22 17:11:47,742] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:18:31,029] DEBUG - Main - App launched
[2018-06-25 13:18:32,182] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:18:32,640] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:18:32,812] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:18:32,847] INFO - SnSClient - SnsClient created
[2018-06-25 13:18:33,186] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:18:33,212] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:19:17,512] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:26:09,189] DEBUG - Main - App launched
[2018-06-25 13:26:10,223] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:26:10,604] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:26:10,865] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:26:10,882] INFO - SnSClient - SnsClient created
[2018-06-25 13:26:11,217] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:26:11,242] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:26:17,447] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:31:00,968] DEBUG - Main - App launched
[2018-06-25 13:31:02,093] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:31:02,433] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:31:02,687] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:31:02,705] INFO - SnSClient - SnsClient created
[2018-06-25 13:31:03,070] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:31:03,096] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:31:09,277] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:32:28,274] DEBUG - Main - App launched
[2018-06-25 13:32:29,295] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:32:29,652] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:32:29,837] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:32:29,853] INFO - SnSClient - SnsClient created
[2018-06-25 13:32:30,081] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:32:30,102] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:32:36,530] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:32:54,694] DEBUG - Main - App launched
[2018-06-25 13:32:55,751] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:32:56,118] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:33:39,571] DEBUG - Main - App launched
[2018-06-25 13:33:40,601] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:33:40,886] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:33:41,114] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:33:41,131] INFO - SnSClient - SnsClient created
[2018-06-25 13:33:41,464] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:33:41,499] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:33:47,724] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:58:08,666] DEBUG - Main - App launched
[2018-06-25 13:58:09,823] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:58:10,133] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:58:10,363] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:58:10,378] INFO - SnSClient - SnsClient created
[2018-06-25 13:58:10,689] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:58:10,717] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:58:16,956] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:59:39,533] DEBUG - Main - App launched
[2018-06-25 13:59:40,594] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 13:59:40,904] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:59:41,149] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:59:41,165] INFO - SnSClient - SnsClient created
[2018-06-25 13:59:41,390] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 13:59:41,413] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 13:59:47,616] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:01:35,418] DEBUG - Main - App launched
[2018-06-25 14:01:36,516] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:01:36,814] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:01:37,033] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:01:37,050] INFO - SnSClient - SnsClient created
[2018-06-25 14:01:37,282] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:01:37,308] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:01:43,524] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:02:03,443] DEBUG - Main - App launched
[2018-06-25 14:02:04,513] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:02:04,911] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:02:36,507] DEBUG - Main - App launched
[2018-06-25 14:02:37,607] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:02:37,919] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:03:08,109] DEBUG - Main - App launched
[2018-06-25 14:03:09,196] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:03:09,483] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:03:09,774] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:03:09,790] INFO - SnSClient - SnsClient created
[2018-06-25 14:03:10,129] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:03:10,169] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:03:16,437] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:04:07,493] DEBUG - Main - App launched
[2018-06-25 14:04:08,579] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:04:09,907] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:10:01,642] DEBUG - Main - App launched
[2018-06-25 14:10:02,736] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:10:03,113] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:10:03,252] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:10:03,268] INFO - SnSClient - SnsClient created
[2018-06-25 14:10:03,459] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:10:03,487] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:10:09,644] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:12:03,803] DEBUG - Main - App launched
[2018-06-25 14:12:04,957] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:12:05,313] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:12:05,626] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:12:05,648] INFO - SnSClient - SnsClient created
[2018-06-25 14:12:05,880] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:12:05,915] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:13:58,663] DEBUG - Main - App launched
[2018-06-25 14:13:59,837] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:14:00,139] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:14:00,352] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:14:00,372] INFO - SnSClient - SnsClient created
[2018-06-25 14:14:00,591] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:14:00,618] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:14:06,789] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:16:36,318] DEBUG - Main - App launched
[2018-06-25 14:16:37,516] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:16:37,950] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:16:38,199] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:16:38,216] INFO - SnSClient - SnsClient created
[2018-06-25 14:16:38,445] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:16:38,471] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:16:44,757] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:16:55,644] DEBUG - Main - App launched
[2018-06-25 14:16:56,952] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:16:57,296] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:18:24,054] DEBUG - Main - App launched
[2018-06-25 14:18:25,182] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:18:25,792] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:18:26,047] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:18:26,063] INFO - SnSClient - SnsClient created
[2018-06-25 14:18:26,390] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:18:26,428] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:18:27,525] INFO - ResponseService - Caught response...java.lang.IllegalStateException: Expected BEGIN_OBJECT but was STRING at line 5 column 16 path $.Message
[2018-06-25 14:20:21,070] DEBUG - Main - App launched
[2018-06-25 14:20:22,226] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:20:22,529] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:20:22,681] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:20:22,698] INFO - SnSClient - SnsClient created
[2018-06-25 14:20:22,919] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:20:22,945] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:20:22,973] INFO - ResponseService - Caught response...java.lang.IllegalStateException: Expected BEGIN_OBJECT but was STRING at line 5 column 16 path $.Message
[2018-06-25 14:20:22,973] INFO - ResponseService - Input variable: {
  "Type" : "Notification",
  "MessageId" : "954e9d65-4c89-5dd5-b9e4-cecfa16b44f8",
  "TopicArn" : "arn:aws:sns:eu-west-1:552908040772:EventProcessing-SuzanneJune2018-snsTopicSensorDataPart1-1GKYP5V52Q07X",
  "Message" : "{\"locationId\":\"97ea35ae-fed4-476c-a88f-34fe71796a2d\",\"eventId\":\"e84f2ef7-8d12-41c4-8f40-f9e4689fe321\",\"value\":2.486616405235785,\"timestamp\":1529932706900}",
  "Timestamp" : "2018-06-25T13:18:26.895Z",
  "SignatureVersion" : "1",
  "Signature" : "o740xTV+qYNNzycU9ZlzXwErz1ovbICOlhFo7UnskuAe7ebhWX8wW7bL5e7XtQtOcmrP+80gwVM4EeRYgutN6vZ13/2s9R0IZC6uFRg/UTqrBSVLrMuoDBlaoE3+PyCxwcCcY2YTMZf4lhE5nEJGgu1z1fhkJL7qmDReZuaV4WHwi9+4ZxE9OF0xEqgcgDBcHhjbm1drKd8yvB8c+3YCwpmVTs9gIJsip4Bvg7ZM1U7HqO9h/prMHpIqQOEEC0pGe23k+0FvYQsZ0qjMcObdUMedXiJgafb1meaQ9cAuCgw3kfhT8umKODZGl/yqJAgVw4+6aZw3BlUcBeAFUOm6Hw==",
  "SigningCertURL" : "https://sns.eu-west-1.amazonaws.com/SimpleNotificationService-eaea6120e66ea12e88dcd8bcbddca752.pem",
  "UnsubscribeURL" : "https://sns.eu-west-1.amazonaws.com/?Action=Unsubscribe&SubscriptionArn=arn:aws:sns:eu-west-1:552908040772:EventProcessing-SuzanneJune2018-snsTopicSensorDataPart1-1GKYP5V52Q07X:866b0304-9af7-42dc-99ea-eeff88da3b33"
}
[2018-06-25 14:20:22,973] INFO - ResponseService - responseObject: null
[2018-06-25 14:23:11,331] DEBUG - Main - App launched
[2018-06-25 14:23:12,417] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:23:12,784] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:23:12,902] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:23:12,920] INFO - SnSClient - SnsClient created
[2018-06-25 14:23:13,119] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-25 14:23:13,199] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:23:19,390] INFO - SqsClient - Destroying queue EventProcessing at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
[2018-06-25 14:25:29,334] DEBUG - Main - App launched
[2018-06-25 14:25:30,424] DEBUG - S3Client - AWS S3 connection established
[2018-06-25 14:25:30,765] INFO - SqsClient - Creating queue: EventProcessing
